rank	term	pvalue	zscore	combinedscore	overlapping_genes	adjusted_pvalue			link	library	category	direction	cluster
1	Eosinophill count 30150	4.503033892224884e-11	4.604404880669174	109.69388990126124	['NOTCH1', 'USP34', 'NLRC5', 'TNFAIP3', 'PTPRJ', 'ZC3HAV1', 'ADD3', 'IKZF3', 'ZFP36L1', 'AKAP13', 'INPP5D', 'STAT6', 'STAT5B', 'CD164', 'ITGA4', 'STAT1', 'LAPTM5', 'IL17RA', 'ITPKB', 'STK17B', 'IL2RB', 'IRF8', 'ATM', 'LCP2', 'IL7R', 'WDFY4', 'CDC42SE2']	3.8591000456367255e-08	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	UK_Biobank_GWAS_v1	Diseases	up	0
2	Platelet count 30080 raw	5.422688044345465e-07	2.950577821490042	42.569473349321854	['MTPN', 'DOCK8', 'BAZ2A', 'PTPRJ', 'IRS2', 'JADE2', 'CHD3', 'STK4', 'PREX1', 'RASSF3', 'MYC', 'SF3B1', 'DYNC1H1', 'CD164', 'ST6GAL1', 'SLC38A1', 'SYK', 'PRRC2C', 'ACTN4', 'ARID1A', 'PTP4A2', 'BIN2', 'CNOT1', 'ATM', 'ESYT2', 'CDC42SE2', 'MEGF9']	0.0002323621827002032	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	UK_Biobank_GWAS_v1	Diseases	up	0
3	Neutrophill count 30140 raw	1.35420818801569e-06	3.6509675063891933	49.33294500740167	['CD164', 'ITGA4', 'DOCK8', 'USP34', 'LAPTM5', 'PTPRJ', 'SSH2', 'GLG1', 'IL17RA', 'TGOLN2', 'PREX1', 'HNRNPK', 'RASSF3', 'TAGAP', 'NLRP3', 'IRF8', 'MS4A2', 'SPTBN1', 'CDC42SE2']	0.00038685213904314877	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	UK_Biobank_GWAS_v1	Diseases	up	0
4	Eosinophill percentage 30210 raw	3.6129774589298306e-06	3.41410384266372	42.78206131896701	['ST6GAL1', 'NLRC5', 'TNFAIP3', 'ZC3HAV1', 'IKZF3', 'LYST', 'IGF2R', 'ITPKB', 'AKAP13', 'SELL', 'INPP5D', 'STK17B', 'IL2RB', 'IRF8', 'STAT6', 'ATM', 'LCP2', 'IL7R', 'CDC42SE2']	0.0007740804205757162	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	UK_Biobank_GWAS_v1	Diseases	up	0
5	Platelet distribution width 30110 raw	0.00010957708655588645	2.663358495062274	24.28685255815451	['ITGB1', 'MTPN', 'CD164', 'SYK', 'EPB41', 'TPM3', 'WIPF1', 'DOCK8', 'ARRDC3', 'PRRC2C', 'BAZ2A', 'IRS2', 'ACTN4', 'JADE2', 'PPP1R9B', 'PREX1', 'PTP4A2', 'CTDSP2', 'TNRC6B']	0.018781512635678937	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	UK_Biobank_GWAS_v1	Diseases	up	0
1	Multiple sclerosis	5.892054527937158e-05	3.9502271380604386	38.47252898218783	['RPL5', 'SYK', 'ITGA4', 'MYC', 'TAGAP', 'TNFAIP3', 'IRF8', 'MAPK1', 'CSF2RB', 'IL7R', 'IKZF3', 'ZFP36L1']	0.10234498715026843	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	GWAS_Catalog_2019	Diseases	up	0
2	Systemic lupus erythematosus and Systemic sclerosis	0.00011880496168462752	15.299292407726142	138.27542378100205	['ITGAM', 'TNFAIP3', 'IRF8', 'IKZF3']	0.103182109223099	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	GWAS_Catalog_2019	Diseases	up	0
3	Inflammatory bowel disease	0.00022816950572603358	2.37905075874726	19.949343998312777	['STAT5B', 'NOTCH1', 'ITGA4', 'PRKCB', 'STAT1', 'TNFAIP3', 'CSF2RB', 'PTGS2', 'ADCY7', 'IKZF3', 'RHOA', 'PRRC2A', 'ZFP36L1', 'CYLD', 'TSPAN14', 'ARHGAP30', 'SELL', 'ANXA6', 'IRF8', 'MAPK1', 'CDC42SE2']	0.13211014381537345	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	GWAS_Catalog_2019	Diseases	up	0
4	Perceived unattractiveness to mosquitoes	0.00028260508154597023	12.357120790855731	100.97571957327483	['INPP5D', 'CSF2RB', 'STAT6', 'CDC42SE2']	0.12272125666133757	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	GWAS_Catalog_2019	Diseases	up	0
5	Tonometry	0.00029218267568350447	21.90580503833516	178.272318721737	['PREX1', 'SYNE1', 'TGFBR2']	0.10150426153244944	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=76d99df0bac65f83911a41fad8c71cc9	GWAS_Catalog_2019	Diseases	up	0
